Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
1,C0805C335K8PACTU,KEMET,C0805C335K8PACTU,https://octopart.com/c0805c335k8pactu-kemet-137283,,,,1,399-3129-1-ND,80-C0805C335K8P,Cut Tape,Tape & Reel,0.36,0.39,60615,4847,1,1,https://octopart.com/click/track?ai=8237&sig=06aaac9&sid=459&ppid=137283&vpid=2010077&ct=offers,https://octopart.com/click/track?ai=8237&sig=0f813dc&sid=2401&ppid=137283&vpid=37834034&ct=offers,Allied Electronics & Automation,70095611,Bulk,0.32,0.32,0.32,2500,1,https://octopart.com/click/track?ai=8237&sig=06a322d&sid=14&ppid=137283&vpid=74371814&ct=offers,
1,FSM2JSMAA,TE Connectivity,FSM2JSMAA,https://octopart.com/fsm2jsmaa-te+connectivity-41720620,,,,1,450-3355-ND,506-2-1437565-8,Bag,Bulk,0.21,0.2,15944,31564,1,1,https://octopart.com/click/track?ai=8237&sig=05314e3&sid=459&ppid=41720620&vpid=502433819&ct=offers,https://octopart.com/click/track?ai=8237&sig=09620f0&sid=2401&ppid=41720620&vpid=216640967&ct=offers,Newark,14H0921,,0.126,0.126,0.126,24496,1,https://octopart.com/click/track?ai=8237&sig=0fa22ca&sid=2402&ppid=41720620&vpid=241794920&ct=offers,
1,C0805C106K8PACTU,KEMET,C0805C106K8PACTU,https://octopart.com/c0805c106k8pactu-kemet-98697,,,,1,399-4925-1-ND,80-C0805C106K8P,Cut Tape,Tape & Reel,0.16,0.18,603628,173844,1,1,https://octopart.com/click/track?ai=8237&sig=00fe3ee&sid=459&ppid=98697&vpid=1358410&ct=offers,https://octopart.com/click/track?ai=8237&sig=0a6de18&sid=2401&ppid=98697&vpid=44736977&ct=offers,Quest,C0805C106K8PAC7800,,0.06,0.06,0.06,5,1,https://octopart.com/click/track?ai=8237&sig=01ce783&sid=2412&ppid=98697&vpid=44238524&ct=offers,
3,MMBT3904-7-F,Diodes Inc.,MMBT3904-7-F,https://octopart.com/mmbt3904-7-f-diodes+inc.-357881,,,,1,MMBT3904-FDICT-ND,621-MMBT3904-F,Cut Tape,Tape & Reel,0.12,0.11,5242224,1267134,1,1,https://octopart.com/click/track?ai=8237&sig=05f786c&sid=459&ppid=357881&vpid=1465576&ct=offers,https://octopart.com/click/track?ai=8237&sig=09ae298&sid=2401&ppid=357881&vpid=37715736&ct=offers,Voyager Components,MMBT3904-7-F-DIODES INC-0809,,0.0112,0.0112,0.0112,2000,1,https://octopart.com/click/track?ai=8237&sig=0bd708a&sid=2424&ppid=357881&vpid=590604157&ct=offers,
8,C0805C104K5RACTU,KEMET,C0805C104K5RACTU,https://octopart.com/c0805c104k5ractu-kemet-143926,,,,1,399-1170-1-ND,80-C0805C104K5R,Cut Tape,Tape & Reel,0.21,0.17,1685800,3344086,1,1,https://octopart.com/click/track?ai=8237&sig=05630d9&sid=459&ppid=143926&vpid=1580637&ct=offers,https://octopart.com/click/track?ai=8237&sig=069f674&sid=2401&ppid=143926&vpid=44736965&ct=offers,Voyager Components,C0805C104K5RACTU-KEMET-1651,,0.011,0.011,0.011,1000,1,https://octopart.com/click/track?ai=8237&sig=0997f2b&sid=2424&ppid=143926&vpid=590628092&ct=offers,
1,C0805C100J5GACTU,KEMET,C0805C100J5GACTU,https://octopart.com/c0805c100j5gactu-kemet-104357,,,,1,399-1108-1-ND,80-C0805C100J5G,Cut Tape,Tape & Reel,0.11,0.11,363990,132356,1,1,https://octopart.com/click/track?ai=8237&sig=0451f79&sid=459&ppid=104357&vpid=1215736&ct=offers,https://octopart.com/click/track?ai=8237&sig=056069b&sid=2401&ppid=104357&vpid=37791370&ct=offers,Newark,64K2873,Cut Tape,0.007,0.007,0.007,2406,1,https://octopart.com/click/track?ai=8237&sig=0693fc4&sid=2402&ppid=104357&vpid=16452334&ct=offers,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,SUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.85,29.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
